mmsi,vessel_name,flag,vessel_type,length_m,gear_type,total_visits,total_hours_in_mpa,mean_speed_knots,max_speed_knots,speed_std_knots,visits_with_fishing,visits_with_dark_periods,total_violations,weighted_violations,critical_count,high_count,medium_count,low_count,violation_types,dark_events,total_dark_hours,avg_dark_hours,gap_events,total_gap_hours,violation_score,dark_vessel_score_norm,fishing_score,repeat_visit_score,anomaly_score,is_anomaly,flag_state_risk,composite_risk_score,risk_category
431813000,CHIYOMARU NO.28,JPN,DRIFTING_LONGLINES,,,1,147.9269444444445,0.0,0.0,0,1,1,18,11.7,0,18,0,0,ILLEGAL_FISHING,17,8020.291219135278,0.0,17,8020.291219135278,1.0,1.0,0.7396347222222225,0.1,0.0,0,0.35,0.5974,HIGH
231039000,BORGARIN,FRO,TRAWLERS,,,1,143.1455555555555,0.0,0.0,0,1,1,18,11.7,0,18,0,0,ILLEGAL_FISHING,17,8024.806975309167,0.0,17,8024.806975309167,1.0,1.0,0.7157277777777774,0.1,0.0,0,0.3,0.5839,HIGH
231838000,GOTUNES,FRO,TRAWLERS,,,1,142.24666666666673,0.0,0.0,0,1,1,18,11.7,0,18,0,0,ILLEGAL_FISHING,17,8025.6559259275,0.0,17,8025.6559259275,1.0,1.0,0.7112333333333336,0.1,0.0,0,0.3,0.5828,HIGH
431206000,KINSAI MARU NO.68,JPN,DRIFTING_LONGLINES,,,1,132.07527777777776,0.0,0.0,0,1,1,17,11.05,0,17,0,0,ILLEGAL_FISHING,16,7939.693856208889,0.0,16,7939.693856208889,1.0,1.0,0.6603763888888888,0.1,0.0,0,0.35,0.5776,HIGH
231091000,Unknown,FRO,TRAWLERS,,,1,134.29638888888894,0.0,0.0,0,1,1,17,11.05,0,17,0,0,ILLEGAL_FISHING,16,7937.6033986933335,0.0,16,7937.6033986933335,1.0,1.0,0.6714819444444448,0.1,0.0,0,0.3,0.5729,HIGH
432503000,RYOAN MARU NO15,JPN,DRIFTING_LONGLINES,,,1,124.1536111111111,0.0,0.0,0,1,1,16,10.4,0,16,0,0,ILLEGAL_FISHING,15,7803.605989583333,0.0,15,7803.605989583333,1.0,1.0,0.6207680555555555,0.1,0.0,0,0.35,0.5677,HIGH
251458000,Unknown,ISL,TRAWLERS,,,1,125.1655555555556,0.0,0.0,0,1,1,16,10.4,0,16,0,0,ILLEGAL_FISHING,15,7802.657291666666,0.0,15,7802.657291666666,1.0,1.0,0.625827777777778,0.1,0.0,0,0.3,0.5615,HIGH
257688000,GARDAR,NOR,OTHER_PURSE_SEINES,,,1,118.42194444444446,0.0,0.0,0,1,1,15,9.75,0,15,0,0,ILLEGAL_FISHING,14,7953.472851850555,0.0,14,7953.472851850555,0.975,1.0,0.5921097222222224,0.1,0.0,0,0.25,0.5405,HIGH
261001225,ALINA,POL,TRAWLERS,,,1,106.6202777777778,0.0,0.0,0,1,1,13,8.45,0,13,0,0,ILLEGAL_FISHING,12,7965.58128205,0.0,12,7965.58128205,0.845,1.0,0.533101388888889,0.1,0.0,0,0.35,0.5148,HIGH
258381000,Unknown,NOR,OTHER_PURSE_SEINES,,,1,100.23916666666672,0.0,0.0,0,1,1,13,8.45,0,13,0,0,ILLEGAL_FISHING,12,7971.47153846,0.0,12,7971.47153846,0.845,1.0,0.5011958333333336,0.1,0.0,0,0.25,0.4918,MEDIUM
245811000,AFRIKA,NLD,TRAWLERS,,,1,102.07055555555554,0.0,0.0,0,1,1,13,8.45,0,13,0,0,ILLEGAL_FISHING,12,7969.78102564,0.0,12,7969.78102564,0.845,1.0,0.5103527777777778,0.1,0.0,0,0.2,0.4866,MEDIUM
725005597,TALBOR,CHL,FISHING,,,1,94.97305555555559,0.0,0.0,0,1,1,12,4.2,0,0,12,0,ILLEGAL_FISHING,11,7832.941365739723,0.0,11,7832.941365739723,0.42000000000000004,1.0,0.4748652777777779,0.1,0.0,0,0.45,0.4302,MEDIUM
277330000,MARGIRIS,LTU,TRAWLERS,,,1,96.49222222222222,0.0,0.0,0,1,1,12,4.2,0,0,12,0,ILLEGAL_FISHING,11,7831.5487962952775,0.0,11,7831.5487962952775,0.42000000000000004,1.0,0.4824611111111111,0.1,0.0,0,0.4,0.4246,MEDIUM
725005381,CENTINELA I,CHL,OTHER_PURSE_SEINES,,,1,88.3727777777778,0.0,0.0,0,1,1,11,3.85,0,0,11,0,ILLEGAL_FISHING,10,7839.6611111111115,0.0,10,7839.6611111111115,0.385,1.0,0.441863888888889,0.1,0.0,0,0.45,0.415,MEDIUM
257997000,KVANNOY,NOR,OTHER_PURSE_SEINES,,,1,95.53555555555553,0.0,0.0,0,1,1,12,4.2,0,0,12,0,ILLEGAL_FISHING,11,7832.425740739723,0.0,11,7832.425740739723,0.42000000000000004,1.0,0.47767777777777765,0.1,0.0,0,0.25,0.4009,MEDIUM
259141000,SUNNY LADY,NOR,FISHING,,,1,85.41361111111111,0.0,0.0,0,1,1,11,3.85,0,0,11,0,ILLEGAL_FISHING,10,7842.351262625,0.0,10,7842.351262625,0.385,1.0,0.42706805555555555,0.1,0.0,0,0.25,0.3813,MEDIUM
257499000,GUNNAR LANGVA,NOR,OTHER_PURSE_SEINES,,,1,84.7277777777778,0.0,0.0,0,1,1,11,3.85,0,0,11,0,ILLEGAL_FISHING,10,7842.974747475,0.0,10,7842.974747475,0.385,1.0,0.423638888888889,0.1,0.0,0,0.25,0.3804,MEDIUM
257815000,LEINEBJOERN,NOR,OTHER_PURSE_SEINES,,,1,80.05499999999999,0.0,0.0,0,1,1,10,3.5,0,0,10,0,ILLEGAL_FISHING,9,7703.9505,0.0,9,7703.9505,0.35,1.0,0.40027499999999994,0.1,0.0,0,0.25,0.3676,MEDIUM
219030452,ASTRID,DNK,TRAWLERS,,,1,79.87944444444445,0.0,0.0,0,1,1,10,3.5,0,0,10,0,ILLEGAL_FISHING,9,7704.1085,0.0,9,7704.1085,0.35,1.0,0.39939722222222224,0.1,0.0,0,0.2,0.3598,MEDIUM
